id,floorplans,brochures,pricelists,contracts,reservationforms,stratafees,depreciations,specialdocs
613,,,,,Reservation agreement.pdf,,,
614,Sovereign_Plans_v.pdf,Sovereign_Brochure_Spreads.pdf,Sovereign Pricing 20151009.pdf,Sovereign Contract.pdf,Reservation agreement.pdf,Sovereign Queens_Bodycorp.pdf,BMT Tax Depreciation Estimate - 363377 .pdf,
615,15.10.29_5-7 HOTHAM STREET PLANS.PDF,Bowery Sales Brochure_web.pdf,Bowery 22012016.pdf,Bowery Contract V1[1].pdf,Reservation agreement.pdf,,,Bowery - special conditions .pdf
616,PICA A3 Plans Individual NP Aug 15.pdf,pica-brochure_web.pdf,PICA 24012016.pdf,Contract of Sale (Ver 2) - 21.01.2016.PDF,Reservation agreement.pdf,,,
617,FRANKIE Yarraville Marketing Plans.pdf,Frankie Brochure.pdf,Frankie Pricing.pdf,Contract of Sale and Vendor Statement v2.pdf,Reservation agreement.pdf,,CBRE Capital Allowance 125 Francis Street Yarraville Indicative Assessment.pdf,
618,Willow_Floorplans.pdf,Willow_MiniBrochure.PDF,COLLINGWOOD Willow Pricing & Availability.pdf,Willow - Full COS & Signed Sec 32.pdf,Reservation agreement.pdf,,,
619,,URB003 Kurrajong Place Brochure Design_V6[7].pdf,Kurrajong - 25012016.pdf,Contract - Ulupna.pdf,Reservation agreement.pdf,,,Ormond - special conditions .pdf
620,Corum Floorplans.pdf,Corum Contract-of-Sale-Updated.pdf,Corum-Pricing-Availability-List3.pdf,Contract-of-Sale-Updated.pdf,Reservation agreement.pdf,,,
621,,Brochure 68 Osborne.pdf,Osborne Street - Price List 20151211.pdf,,,,,
622,Parkville FloorPlan.pdf,Parkville Townhouses Brochure.pdf,Parkville Pricelist 20151111.pdf,Parkville Master COS.pdf,Reservation agreement.pdf,Parkville.pdf,,
623,Hawdon st Heidelberg Contract.pdf,Hawdon St Heidelberg.pdf,Hawdon Price Availablity List.pdf,Hawdon st Heidelberg Contract.pdf,Reservation agreement.pdf,,,
624,,Amber A3 EMAIL.PDF,Amber price list 20160113.pdf,Contract Of Sale.pdf,Reservation agreement.pdf,,Tax Depreciation Schedules - 101014.pdf,
625,14407 - Fox Estate - with lifts.pdf,,,,,,,
626,"43 PARK CRES, WILLIAMSTOWN NORTH - RFI 20150812.pdf",,Park Cres Pricing.pdf,,,,,
627,72 KENMARE ST MONT ALBERT WD 20150330.pdf,,72 Kenmare St pricing.pdf,,,,,
628,"8-14 Mingay Cl, Truganina-Plans -18.11.15.pdf",,8-14 Mingay Close Truganina Pricing .pdf,8-14 MINGAY CLOSE TRUGANINA COS.pdf,,,,
629,Architectural Drawings.Pdf,,,Carlisle COS.pdf,,,,
630,,,,Contract of Sale and S32 - V1 March 2015 - 214 Balcombe Rd Kalus Kenny.pdf,,,,
631,,,,98 Somerset St Richmond COS.pdf,Reservation agreement.pdf,,,
